ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10051837,HY240727,04/29/2015 04:35:00 PM,034XX W OGDEN AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,SIDEWALK,True,False,1021,10.0,24.0,29.0,15,1153543.0,1890614.0,2015,02/10/2018 03:50:01 PM,41.855684166,-87.71190732,"(41.855684166, -87.71190732)"
10174532,HY362241,07/30/2015 05:44:00 PM,053XX W NORTH AVE,0560,ASSAULT,SIMPLE,BARBERSHOP,True,True,2532,25.0,37.0,25.0,08A,1140574.0,1910120.0,2015,02/10/2018 03:50:01 PM,41.909458799,-87.759031268,"(41.909458799, -87.759031268)"
10020019,HY209115,04/03/2015 02:33:00 PM,009XX E 65TH ST,0820,THEFT,$500 AND UNDER,STREET,True,False,314,3.0,20.0,42.0,06,1183890.0,1862116.0,2015,02/10/2018 03:50:01 PM,41.776826904,-87.601411255,"(41.776826904, -87.601411255)"
10212985,HY399149,08/27/2015 09:15:00 AM,049XX W WALTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,1531,15.0,37.0,25.0,08B,1143196.0,1905857.0,2015,02/10/2018 03:50:01 PM,41.897712072,-87.749505642,"(41.897712072, -87.749505642)"
10306135,HY494902,11/08/2015 11:00:00 PM,061XX S NASHVILLE AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,812,8.0,23.0,64.0,06,1133460.0,1863145.0,2015,02/10/2018 03:50:01 PM,41.780679756,-87.786264708,"(41.780679756, -87.786264708)"
10148644,HY338283,07/12/2015 10:00:00 PM,048XX S TRIPP AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,False,True,815,8.0,23.0,57.0,08B,1148843.0,1872242.0,2015,08/17/2015 03:03:40 PM,41.805360931,-87.729632625,"(41.805360931, -87.729632625)"
10095056,HY283576,06/01/2015 03:00:00 PM,020XX W 51ST ST,1020,ARSON,BY FIRE,RESIDENCE PORCH/HALLWAY,False,False,932,9.0,16.0,61.0,09,1163451.0,1870837.0,2015,02/10/2018 03:50:01 PM,41.801211381,-87.676095489,"(41.801211381, -87.676095489)"
10230679,HY418395,09/10/2015 06:12:00 PM,001XX S CLINTON ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER,False,False,121,1.0,2.0,28.0,26,1172750.0,1899670.0,2015,02/10/2018 03:50:01 PM,41.880131389,-87.641140619,"(41.880131389, -87.641140619)"
9978881,HY168677,03/01/2015 12:00:00 PM,037XX W 61ST PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,823,8.0,13.0,65.0,14,1152475.0,1863567.0,2015,02/10/2018 03:50:01 PM,41.781484669,-87.716540041,"(41.781484669, -87.716540041)"
10101603,HY290164,06/06/2015 12:11:00 PM,0000X N STATE ST,0820,THEFT,$500 AND UNDER,DEPARTMENT STORE,True,False,112,1.0,42.0,32.0,06,1176364.0,1900524.0,2015,02/10/2018 03:50:01 PM,41.882394062,-87.627844798,"(41.882394062, -87.627844798)"
10166523,HY354762,07/24/2015 05:00:00 PM,002XX W LAKE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,False,False,122,1.0,42.0,32.0,14,1174338.0,1901724.0,2015,02/10/2018 03:50:01 PM,41.885732395,-87.635248375,"(41.885732395, -87.635248375)"
9997416,HY187781,03/11/2015 02:00:00 PM,015XX W 79TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,612,6.0,17.0,71.0,05,1167640.0,1852349.0,2015,02/10/2018 03:50:01 PM,41.750389047,-87.661262787,"(41.750389047, -87.661262787)"
10272643,HY460758,10/13/2015 05:30:00 PM,012XX S WESTERN AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1023,10.0,28.0,28.0,06,1160567.0,1894402.0,2015,02/10/2018 03:50:01 PM,41.865936425,-87.686020959,"(41.865936425, -87.686020959)"
10355951,HY547159,12/22/2015 04:00:00 PM,038XX W 84TH PL,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,834,8.0,18.0,70.0,05,1152317.0,1848266.0,2015,02/10/2018 03:50:01 PM,41.73949932,-87.717520894,"(41.73949932, -87.717520894)"
